Country Name,"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Hungary,-0.22484307561823513,11.614211894633346,0.6693706489449109,2.8555145168693574,-13.265131437816024
Iceland,1.9751106081130838,-2.367644969691511,1.6237914601748114,0.05467547737581335,-3.1287815418266014
India,-0.039923087294174486,3.6491980221486124,2.5450610794007256,-2.7912184036914747,-0.0542489117309044
Indonesia,-0.7088816458831833,1.5708844563817446,0.3419746617759096,-3.6038191512986932,0.8199388458953569
Iraq,-2.0502464376681466,-11.291144808016732,-0.2977920512379697,-0.5533202045347156,11.525790232959043
Ireland,4.987899248452245,2.571912516110184,1.2118700313477344,3.725664010850661,-5.149673294361001
Israel,0.044184452994070256,-1.0412273760578397,2.904651851802311,3.6729867929463973,-2.8235378776998896
Italy,4.116027969018955,1.712412420067528,0.7520565059532682,1.8337594708415965,-7.32920939492995
Jamaica,-2.0607505941027826,8.358339086654226,1.5489926253190567,-2.3831694663926157,-6.195405172330186
Japan,1.4599992132233037,-1.138410173892911,-0.1826709045905266,1.8281391874726478,-5.804249171755113
Jordan,-2.290960645055439,-0.058892993955231177,0.11319250457163665,-2.5348321102486393,1.9604247341735226
Kazakhstan,-1.5819607132101758,7.853712700908936,-0.34216977421178374,0.631180441488707,-7.9282028192218235
Kenya,0.04156488818539872,1.800983456084888,-1.250168954023689,2.4371131762424945,-0.9464194382952122
"Korea, Rep.",-0.8131927225054967,-1.2447532317184458,1.4199903771265925,2.0258809023214948,-2.815736617742493
Kosovo,1.0852302676492003,5.471526097703057,0.5844398584870625,-0.0640198328506032,-3.355358981040231
Kyrgyz Republic,-0.29202623616658263,-3.3855176714847923,-1.22084770910937,-0.4935165667373509,2.199121547363279
Lao PDR,-0.5004888341865148,-5.087381979228355,-0.5966279868437985,-0.13924984331138113,5.301029233638456
Latvia,-0.8988988565775529,10.366873148516348,1.2844868995356844,0.8116717528816819,-12.41808481334478
Lebanon,-3.7566244714015475,-20.478539783855794,-3.361707770190769,-3.2698295656868783,15.285849134971173
Liberia,-4.526528090439471,-2.3149291260501155,-1.4842893327464521,-4.033547992616137,10.509537854310903
Malawi,-4.800721678843544,-8.227145760716633,-0.9492167066014048,-3.6553168693917666,14.850128273806952
Malaysia,-0.8299153877333865,11.284042037671473,-1.3366987646238178,1.7870556502379094,-13.241278221366343
Mali,-2.7868150661852074,-6.835767064189632,-1.0232936630233445,-3.172454580111868,11.81171928671931
Malta,3.75557444112186,6.204907688509984,0.5092228671708252,3.2904125997183806,-9.920572776433005
Mauritius,0.03434327282930205,10.808464272130673,0.9478169410524222,-0.9841911198586297,-12.231306924569441
Moldova,2.01204201935876,8.251786100574876,1.1485200154896678,1.291043509905931,-4.42056332914288
Mongolia,-0.9803541233981177,4.645116157750585,-1.33854326984449,2.1156319576012868,-8.455393126806207
Morocco,-0.7307864587945231,0.9599296529439724,1.6638438929225947,-1.5461756034465033,1.7398840398558968
Mozambique,-2.083072964099622,-4.897971230254075,-1.038944341068139,-2.515916203509433,7.429741985525079
Myanmar,-5.449278630884248,-11.034887309917265,-5.868189527748456,-3.4761748885675416,3.0888954718629478
Namibia,-1.0587730244476523,2.6091702174348432,0.1826432504064821,-0.9585764364043038,-3.596212228161005
Nepal,-2.0529476661149983,2.127266601510348,-2.6533757079238023,-2.4837843512295534,3.8376919820084936
Netherlands,3.257660688551055,7.050990324058328,0.0709244824628339,1.4009655565970283,-12.100110287442838
New Zealand,3.3890912172760466,0.4799659989718239,-0.11497666971434972,0.07282418336341445,-5.751285081318086
