Country Name,"Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
"Korea, Rep.",1.3718436986145912,2.8543344230008465,-0.21439548182994095,0.9211023665617821,-6.263861235583729
Kosovo,-0.03783348217508342,3.979416958705732,1.253428324889331,-2.5101240414776123,-0.48085234909243235
Kyrgyz Republic,0.03635511908878897,-6.0881963125711955,-0.10642070743354637,-1.5326389119270454,5.859800164386643
Lao PDR,-2.650244030007366,-7.645847625676607,-0.20079986684664242,-1.447311836936196,8.588669564113093
Latvia,2.5091434975995206,10.07409138282596,-0.5308344026463221,3.1384531575483123,-16.560909017706077
Lebanon,-6.596737898951872,-18.50307840763305,-3.4320975865970382,-3.2168031359623726,16.00846192014009
Liberia,-1.3153861425181006,-5.125046173636286,-1.6023458944331166,-3.1766057083927413,9.873783610942969
Malawi,-1.4506447292139928,-10.410346349461973,-0.6656241958114961,-3.479066296749222,13.407982201913889
Malaysia,-0.45393678020680994,11.201528238367528,-1.0245451828312122,1.5266086846052893,-13.539732073967901
Mali,-1.6927855472665456,-8.802795978209096,0.771656642472716,-3.1684063777851437,10.700744176748422
Malta,3.46814685009719,8.302324127629081,1.3143610560434276,3.5326070269904157,-12.653733187494534
Mauritius,-0.5181914246936632,10.986351653660599,-0.1837882581804111,-0.8508190703610206,-10.912059526316177
Moldova,0.5368087507738961,6.79065589502876,2.3525325494588305,-0.284127283975967,-1.1106814631214128
Mongolia,-1.1662314740463602,3.4636505476685056,0.30882100714467375,2.277086031966485,-8.928850623511796
Morocco,-0.09354391006925344,-0.40525839366500893,1.3202875949120985,-2.278763058154227,2.3159976711124926
Mozambique,-2.5605357260261563,-7.184901966212594,1.0539572886545585,-2.900739123387675,8.507999445509919
Myanmar,-6.604554580881988,-12.644233032416079,-5.219703043724122,-4.157592370690063,6.305105855805188
Namibia,-1.4538952849483686,3.4669534154523447,-1.3538775256912987,-1.6110024407255454,-1.9732616882433862
Nepal,-1.398120875862566,0.9431022225778714,-2.163484714665512,-4.0582584211795565,5.40916165926686
Netherlands,6.214983610860344,7.811595049830732,-0.287802390087041,6.50562787812215,-20.654004072475644
New Zealand,4.086147160546945,4.254336290352157,-1.5983899275177338,4.911383135212253,-12.99223994420246
Nicaragua,-1.4055532230211139,-13.58755207809756,1.7773946881637475,-1.503612145910238,19.861850779243547
Nigeria,-0.5386027006712859,0.12276738918679264,1.0572379294920646,-2.555171830367354,1.1992454884913004
North Macedonia,-2.4397788118950317,7.977298335679283,0.5964274190139105,-0.748227724256531,-6.590513294898564
Pakistan,-5.955685631779339,-18.465217669349496,0.3263545311390619,-2.114600252914572,26.376939799039047
Panama,3.1360503444060837,-3.463257275897689,2.636715037400453,0.7518753471198236,6.526006238649877
Paraguay,-3.6295493431795496,-13.529054521288916,-0.07477466348272799,-2.11091459596204,17.699419600217876
Peru,0.7527140853808376,3.3049317334231785,2.404264048570427,-1.3849634589915434,2.426486071750716
Philippines,-0.7068701797638979,-0.3520337140055858,-0.5548828365170864,-1.3503759355861187,3.3137987763953136
Poland,-1.3540829200810602,9.975829216901221,0.5599412707445541,1.7204681567519788,-10.612118497905247
Portugal,0.9180655848378585,10.949450732160619,-0.5926774626643425,1.274043430921739,-13.029033365531681
Romania,-2.160371407426956,6.883259002496727,-0.25233119555866645,0.7575458722112427,-4.777656201752206
Russian Federation,-3.214923678675457,6.173235223184829,-0.21154987841741235,3.1758172252190286,-6.52797081275666
Saudi Arabia,0.007833070917428575,4.067011678586089,-0.6421679859314646,1.8687459016426382,-7.446555781764358
Senegal,-0.81330268256223,-8.274460855249423,0.6639876410759067,-1.5992947343138182,10.51738589944015
Serbia,2.102766159630046,5.033463204732652,0.10804860578971631,0.5745259500525424,-5.8720813804380585
Sierra Leone,-2.786073831778177,-11.87430677638963,-2.780852117504695,-2.739691649708625,17.87785087200397
Singapore,-0.4195149504612088,9.983230402155971,1.4617763046283194,2.8017465041081255,-11.631940674906218
Slovak Republic,-1.923553868782144,9.91691535905015,0.23570858726883603,1.8253928787698284,-12.433781482701146
Slovenia,3.051246599521461,7.581730805308082,0.2599016067178166,2.9482311873798714,-11.176320008725082
South Africa,-0.8850539488611258,3.9943759463709605,-1.0030320432197315,1.1177198740408478,-3.7907467665008108
Spain,3.687938589734884,5.114822225976301,-0.9881978899591397,2.699919558598287,-10.66678543989929
