Country Name,Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Czech Republic,0.31152388427909816,2.4470385537196715,-0.781695323092416,4.0123652547089845,-7.971927963625049
Dominican Republic,1.0235529609591252,3.944404132782836,1.7166315023913303,-1.9913844465491406,2.030047806865209
Ecuador,-3.321464446559882,4.782892182923713,0.8268197796495569,-1.7155950260319357,-1.6338152483860724
"Egypt, Arab Rep.",-0.08544320255394666,-5.130006709827071,-0.1865719072411105,-2.7436117283230903,5.835728599202248
El Salvador,-0.12967107588447613,-6.250691113579041,-0.48179595143571863,0.4813906952252256,11.068425184561434
Estonia,2.184712417188508,1.6236478991122123,0.579694991752941,5.431842205445832,-6.98808652111326
France,3.9278330002300583,1.5464753153674913,1.196613311251407,1.646494801179328,-7.0621990470567155
Gabon,-0.6830603856653292,-1.9139750495313106,-0.10544462435905189,-1.3714568352605165,0.2076942888022355
Georgia,-0.49507121379345786,6.749476761177085,2.0579740204892056,-0.030145919453372638,-3.234054749433527
Germany,0.9942643087000534,-2.488618522523889,-0.6103817954288449,1.9938183731888157,-2.5020141911979916
Ghana,-0.6877704344283635,1.4873416770489036,-1.1420352727392282,-2.1578645251709174,2.3200489373112627
Greece,1.0658918559383175,-2.2455070576842813,0.6493542325500867,4.1157296800580365,-0.5839070365792307
Guinea,-1.5797693901822072,-4.7123342595806275,-1.778175467934517,-2.0483690293677466,8.052073021890182
Honduras,-0.7089495948099596,-2.794823762272064,1.3357073060028735,-1.5668800980708237,10.195204464776136
"Hong Kong SAR, China",1.9086918224080858,-6.874268112584866,1.5955397007831833,4.383064005836338,-0.12875767952917094
Hungary,2.5357892023745947,4.720727980618225,-0.6720710908180916,3.060916387056592,-7.94522680572609
Iceland,2.289675366051518,-5.844569539518435,1.2688012432762759,4.245755012458332,-3.717198295146157
India,-0.03402739995010906,3.1744853605548586,2.434810116934053,-0.44497452970205664,-1.5220890578975785
Indonesia,0.3314317960980687,3.307921143336121,0.4095172400302103,-3.658304651795879,-0.21262682189167137
Iraq,-0.7436331660280366,-8.039585102733433,-0.8415646431118669,-1.499677573140131,8.339370682991762
Ireland,5.631522534123912,-0.36400329503528006,2.410643742164595,4.378171049655359,-4.312644831609214
Israel,2.3223014761201384,-2.054905143933774,2.4038317805969225,3.735407340567356,-3.6464600445372186
Italy,2.131613336482498,1.2633339308933156,1.0744309547976147,0.8738751182564455,-4.193711130887727
Jamaica,1.2610718574584205,5.847013135393789,-0.29965490971110675,-1.9726647570132663,-5.590254778465377
Japan,-0.00926127245782471,-4.472995705526461,1.1384059173879688,0.8792193492218698,-1.3565449728719257
Jordan,-1.0291069143469735,1.6885478287795443,0.7740819171305676,-3.190156618023037,-1.1653631747839568
Kazakhstan,-0.761167045347712,2.817973531153163,-0.6621661611311227,1.3569768363269115,-3.940952269681236
Kenya,-1.0735556755991182,4.601406416753154,0.7291817662651177,1.6467088748631369,-3.7947918230044646
"Korea, Rep.",1.4339301180063824,-8.21002307405118,1.835271083423202,3.8390757770782407,-0.1726738395713059
Kosovo,1.023548570905775,5.805119304153784,0.4074269449739458,-2.608242847037925,-2.4650314076412947
Kyrgyz Republic,-1.7478890623512822,0.09257780172685681,-0.651111387050856,-2.7696442998316355,2.584489519270759
Lao PDR,-1.5226905637841384,-2.0108735081259415,-0.12780906642933454,-2.941216329471129,4.015614912310193
Latvia,0.607873428049396,1.9973591249718763,-0.9595652699076649,3.0192893325361103,-5.6386255528233455
Lebanon,-6.231390458952447,-11.281229825562468,-4.761832516000446,-5.205235860461954,11.381216939104078
Liberia,-2.357990523682563,1.1792673544946637,-1.1443712439797036,-2.6746918219247315,3.6974566937056164
Malawi,-6.241509406001816,-0.18942970132917125,-0.41759759833777377,-3.284965710395495,7.23275267799837
Malaysia,0.5212898754968491,6.237354416662881,-3.20400927431843,1.3931806611937363,-7.187859932848898
Mali,-3.265198963007597,-0.4182542287266937,-0.5804316050471652,-3.2911494634572946,5.743214193806844
Malta,1.1293066203013984,3.062250384105899,0.5982251514356829,2.8580968829125806,-3.6142954182506006
Mauritius,2.3457388349314856,5.928935158959105,-0.849687708362791,-1.657286357953418,-7.156159257957437
Moldova,1.12132620584923,7.237889488081736,2.205085612070965,-0.14054712447756135,-2.023567031980413
