Country Name,"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
"Korea, Rep.",0.23331817008025002,3.303513877083259,1.3721795689101643,2.916411397641748,-9.177480492211652
Kosovo,-0.5007572587610856,5.652832791656252,-0.18083088957323268,-0.01628121394263138,-1.5250776572681604
Kyrgyz Republic,-0.5167839739683879,-5.861084752085877,-0.7330232678762929,0.08287401540198713,5.163107885779592
Lao PDR,-2.097474458716311,-8.747015310446873,-0.5332821819363733,-0.42309381925036593,9.460554052974537
Latvia,4.319953448896225,13.392525735637197,-0.28905682411437006,0.2483376943211404,-18.605345008455764
Lebanon,-5.190561822933585,-25.345882342384726,-0.960833096891033,-3.9876313760641864,19.8681424375084
Liberia,-3.0995741386557185,-5.815188024520275,-1.7597561078450656,-2.6311833990696547,11.776245449869725
Malawi,-4.619126156890404,-10.853025584959095,-1.369141872179048,-2.2194772077785565,16.31396856617519
Malaysia,0.4059531171763098,14.566793056523352,-0.6795236570205851,1.5992591761017785,-18.26397744038223
Mali,-3.858242633011246,-9.851564563331802,-1.1546023630193716,-1.5438027550351734,13.910675535244541
Malta,3.8371314550683024,11.222963184708021,0.9609644504431749,1.3641121863206624,-13.56965951386746
Mauritius,0.4844717380822958,11.89792746514846,-0.5057766258810004,-1.0313399538737116,-12.219260633434407
Moldova,-0.6592422132313187,7.349634134010747,1.3408565162314723,2.2005246700743166,-1.704210205202532
Mongolia,-1.3332241381100096,8.055410738773627,-1.3810819843673983,1.8450291500354004,-11.122490009000886
Morocco,-2.078972644560811,-0.4989997940714672,0.7624111021769158,-1.1209766713131477,4.069067975461417
Mozambique,-3.453312056081943,-7.4121954395704,-1.677453852005482,-0.816015459859929,10.560432684110555
Myanmar,-6.476658218926477,-14.935377521904403,-3.8613021984089713,-4.189473978125836,7.532493093326956
Namibia,-2.0190179697575235,4.334404529584268,-0.9759683522084203,-1.1129588697432018,-3.1464402101326194
Nepal,-2.0445576975699344,0.7971716947061305,-3.8177349969845618,-2.817416227676379,6.705988057557279
Netherlands,8.460221239479583,13.373007579294367,-0.5601752098264434,-0.8987152833640657,-20.75866738222857
New Zealand,5.6546962127800064,5.229997360331139,1.5061361989386768,-0.6668708935581096,-12.584234355661732
Nicaragua,-0.5087994632615924,-18.809979702070468,0.601996337352066,0.5768503076578124,22.53816997995155
Nigeria,-3.4093220573264964,-0.28756247587362394,0.0504363306843052,-1.0996373413147706,3.1089114847528587
North Macedonia,-1.4024546994589038,8.553455271831712,0.513474983425807,-0.9572723520767878,-8.077987661851619
Pakistan,-2.4301537418550865,-28.11912519758699,3.511525959544816,-2.5620830999871806,30.330698996583898
Panama,0.3845806525335548,-3.2613238369185558,5.186936963766627,-0.884493432437242,8.011672060602853
Paraguay,-2.5783835618336983,-18.975344217107047,0.0915490991399448,-0.8793939462007341,20.582871540098264
Peru,-0.8918184452275906,3.599529093848683,1.1744259193193622,1.5290099876379655,2.3388053905101263
Philippines,-2.0084088911208893,-0.1712177148720757,-1.0138867260660058,-0.2509938661631075,3.9143883440203977
Poland,2.384744529430739,10.894547806094867,-0.0967318887066595,0.7074102269094809,-13.729179315791516
Portugal,1.0115822150804927,14.3152430496248,-1.0244806947288918,1.471710466812433,-16.219027424519798
Romania,-0.871246390593039,8.279501581423883,-0.9148863668446978,-0.44584631653133533,-5.777213716920076
Russian Federation,0.49311445718218394,7.112347443886186,-1.2572490284260045,2.318318643665887,-9.296116543535021
Saudi Arabia,1.1718311151272305,5.781084489688876,0.011911799650502708,-0.14799381215922347,-8.979759889052248
Senegal,-0.9133177326829607,-10.346139425808179,-1.4593792187861343,-0.21002816824759396,14.100716475999672
Serbia,3.4196155684265337,5.706962879140827,0.24657267446823994,-0.362435104952481,-7.015517251737378
Sierra Leone,-3.3579893474793145,-14.73642316112452,-1.4792175371402259,-2.686976493978289,19.878063624030627
Singapore,0.7030182358925838,13.01425617260779,0.6619035766086192,2.4356033479588177,-14.707991054424262
Slovak Republic,2.70582068601831,11.55437632698917,-0.5490148208743042,-0.13982873189911693,-15.796381634757289
Slovenia,4.982562796872283,10.186944316224398,0.4059780204973755,1.5430085112927365,-14.11394436743262
South Africa,-0.3786180158105692,4.999790236872384,-1.350244901117931,1.3559470741166142,-5.220591248932976
Spain,2.546514183051265,6.461809662095187,-0.745514443419232,1.5509078772327278,-10.250475966647883
Sri Lanka,-2.2661105814208016,6.774051836732443,2.2546422707340703,-2.0437628443129223,-6.4486068011342415
Switzerland,2.413056464053347,3.5629294069510395,-0.0029668068426751404,1.657540537767824,-9.421161802763834
Tajikistan,-2.3987898096790587,-7.983054234142396,3.0031889444395174,-1.812247272440982,13.310941511992564
Tanzania,-1.1445301963827426,-17.161082680542243,-0.3201170973626599,-0.2519892113995592,17.549039507989896
Thailand,0.8637274509120192,4.099295559689992,-2.164377297453783,1.6208095188404932,-8.265112692297766
Togo,-0.8654344312469853,-13.8604945867498,-0.09496731114205836,-0.8431140158719383,15.733075312040256
Tunisia,-0.3225079139923217,-7.449348498070029,-0.754083823876794,0.1269673392911872,6.319390706680169
Uganda,-1.3248810666029431,-5.736531763653348,0.4747777372306885,-1.1734366489784236,5.742518043728191
Ukraine,-1.2623411848982187,7.491571131354268,-2.068942830882396,2.815196558510964,-9.111837538142112
United Kingdom,7.077479460688963,6.44025821453522,-0.040744429007526506,1.4604492048898337,-12.809896614004138
United States,1.435189788792143,4.633465775512846,2.2378466907604553,1.5162125130006228,-9.627309201897457
Uruguay,-0.2492041047891167,7.1553115532384375,-0.6553370070867697,0.08680075348148053,-7.230234307661983
Uzbekistan,2.5458335002335244,-5.006025828883176,1.9079298727284102,-0.6889295326733865,3.286124768915323
West Bank and Gaza,-0.08117424994795286,-10.283157868553428,-0.13535972739669155,1.3714687170078013,10.773660423363928
Zambia,-1.3296075134792034,-11.59908006147698,-1.0150433122930487,-1.1927800652353158,13.492789115858926
Zimbabwe,-1.4966193427924743,-9.06673533416614,-0.9978431799761704,0.12139669018862431,11.480149089107769
