Country Name,Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all (% age 15+),Worried about not being able to pay school fees or fees for education: not worried at all (% age 15+),Worried about not having enough money for old age: not worried at all (% age 15+),Worried about not having enough money for monthly expenses or bills: not worried at all (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, richest 60% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: worried, richest (% age 15+)","Worried about not having enough money for old age: worried, poorest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, richest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, poorest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, richest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, poorest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, richest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, poorest (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),Worried about not having enough money for monthly expenses or bills: worried (% age 15+),Worried about not being able to pay school fees or fees for education: worried (% age 15+)
Kyrgyz Republic,-0.15435244853597396,0.12689016143602203,0.05798019019690401,-0.24272609181774896,-0.14141730207142245,-0.1564224535604444,0.0633261995232533,0.09352932774432703,0.3504891348871024,0.053621218167390905,-0.046579970609163864,-0.2109705041135021,-0.3918018106368982,0.816457783866972,-0.06438989896061685,-0.19073163718378056,-0.25571097641783125,-0.15165990000536111,0.07208152518556744,-0.04984054468179238,0.019952775734818715,-0.151347916196828,-0.08275225806348317,0.210578963829048
Lao PDR,-0.12906558595095702,-0.13816369542139,-0.1476428731395572,-0.03298126690198842,-0.13731589221006288,-0.13915457587427227,-0.05517454511933465,-0.006224766843442922,-0.2940088188432128,-0.26901609936110615,-0.11153295731652178,-0.4875466697845695,0.07419740253601048,0.6547050945395313,-0.01666197052349162,-0.10161448794286115,-0.13032364783037337,-0.0441057912440192,-0.2864332819714764,-0.011863404433097458,0.09849820206327423,-0.07008271168695501,-0.021298569892442176,-0.018871990486441063
Latvia,-0.06744363564077503,0.04148833690389438,0.03810813614469225,-0.27386738656408854,-0.1655277799281066,-0.11495853284999612,0.018879354661949038,0.2533693018922713,0.37564864307219975,0.07607258718218873,-0.08113848225948458,-0.22382357662761934,-0.07129960874352037,0.4740789200922154,-0.08824297266153736,-0.2353529233257723,-0.25871035437296086,-0.24412136085213207,0.10478597101704508,0.10540803288746246,0.1239236146778785,-0.11711989624986018,-0.0878553265616938,-0.006448572000826971
Lebanon,0.04691817205270127,0.08408391726043192,-0.07762193454665066,0.21041558991519196,-1.4133683173726057,0.2584116743408413,-0.16233943873711723,-0.20022090066573583,-1.2468918756116545,-0.10547070329095504,-0.4073048995497993,0.8325000167845428,-0.0005983477807149029,-5.426570635977032,0.20077881775447168,-1.0984894276552222,0.4213523540739152,-2.907806642451287,-0.2849127677032084,0.009930004974803524,-0.7024192958511413,0.13429916373123205,-0.05933800666660318,0.061291750364380275
Liberia,0.3869937918494179,-0.281267073068193,0.17490776269778052,0.39858121320967255,0.40111227673365646,0.3927539740903285,-0.2530464221518514,-0.5204320053018455,-1.0824120458665494,-0.01555759828891496,0.028264210190445737,0.7650205885218747,0.16142263300951526,-3.4719722542967975,0.22452621640544748,0.6240344014123003,0.3531860913545279,0.10174989980079772,0.1872281562939861,0.09009227525739334,-0.4863330554238473,0.5894707908188149,0.1402865082085009,-0.029222224628683763
Lithuania,-0.0903779290660168,0.15347325025872124,0.05719606697884956,-0.19262551402942335,-0.1257601077252184,-0.12616529267994336,0.05198172510794393,-0.14154460256446327,0.40624300977768146,0.07985431812080605,-0.057966754929293526,-0.12149715812789509,-0.13599745300913127,0.43608660836693164,-0.1577378433151898,-0.2225183527383342,-0.20988305177666916,-0.25661574074760213,0.1571564064164704,0.09534052867365972,0.00335272050670028,-0.1109123453442271,-0.07856516443178407,-0.14580472782627113
Malawi,0.1929006719417248,-0.1353061031114703,0.18782301303580426,0.43714232051653196,-0.920740765912251,0.3193541550102145,-0.09671842986656429,-0.3419501496068551,-0.9947816780778521,-0.014377774479369236,-0.037249489647711014,0.7391367311936483,0.2473373685378556,-3.900698035494779,0.3297261036260716,-0.6075383981423329,0.42377404437677796,-1.8961861048346509,0.2803292973159114,0.20123331654564935,-0.392765435106312,0.34190451453829385,0.09009397210940734,0.07294979135469476
Malaysia,0.06794019465407473,-0.07170165077870479,-0.13441325300271273,-0.04642165249828395,-0.10551948040945718,-0.08714700558848562,0.07723146991218527,0.010515179947542492,-0.6275102356061688,-0.11902954396682616,-0.09272316455746477,-0.3701977316883858,0.06814478504595173,0.41238793169599375,-0.20449612633601646,-0.12003880824668159,-0.1362344297603704,-0.050554792245893626,-0.0457134103331191,-0.02371243043045979,0.1342216224452568,-0.08478690717071004,-0.004792125853600737,-0.020978572132171393
Mali,0.18802594464115827,-0.33663449811185275,0.16145225052213846,0.31979577259224246,0.27916636085803476,0.4006249707948427,-0.2640038404359211,-0.5145914367340447,-1.1246955705276924,-0.005693184782148819,0.0393275319750137,0.73351080266395,0.14172056195284313,-3.9007279587210544,0.23105193853800302,0.39293880690029254,0.3653412553187991,0.1213039984527677,0.1791041360393683,0.024233933651285042,-0.4457736070666851,0.2951467446898107,-0.028312317161125974,-0.027855395277874777
Malta,-0.03977464625177163,0.348614366041038,0.21699674863019028,-0.2320813279009417,-0.06877526447942728,-0.05354034623824191,0.21570250331937132,0.32230626913526067,1.1878788937425997,0.2709878808006397,-0.012139977781043854,-0.11359063031341066,-0.014608504438056115,0.6103936449277171,0.015306384906543825,-0.14813724986481247,-0.21601760396162717,-0.1679331549597373,0.17058669817000918,0.1170033880871415,0.0993948894661662,-0.08943858431416174,-0.06019009162580915,0.21014114691352007
