Country Name,Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all (% age 15+),Worried about not being able to pay school fees or fees for education: not worried at all (% age 15+),Worried about not having enough money for old age: not worried at all (% age 15+),Worried about not having enough money for monthly expenses or bills: not worried at all (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, richest 60% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: worried, richest (% age 15+)","Worried about not having enough money for old age: worried, poorest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, richest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, poorest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, richest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, poorest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, richest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, poorest (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),Worried about not having enough money for monthly expenses or bills: worried (% age 15+),Worried about not being able to pay school fees or fees for education: worried (% age 15+)
Bosnia and Herzegovina,-0.5831959522445505,0.2747305816511289,-0.31452513014484795,0.1091766229161476,-0.04362321749581497,-0.6311020013559028,0.04534853077819207,-0.06048104884474014,0.43067492403923097,0.4924883780216578,-0.06041165936854668,-0.41618884822277324,0.10703679577425645,1.0876144819628826,0.6064950401501846,0.024971107138444495,-0.5290891255257884,0.18056561968471216,0.2520843082843567,0.3595746945746578,0.09505784632088762,-0.1123326233944681,-0.0313420398067683,0.3200055677890123
Brazil,-0.5489337301206797,0.3575419120379047,-0.31544082611213525,0.2223750859260872,-0.18884308328824773,0.8168780845147375,-0.03419144963096187,0.08807868162148225,-1.7070124435834078,0.021414255518839128,0.01422070448705199,-0.44642188391741,0.22032851506730367,1.0399306071786487,0.20715894017514075,0.01238616680031555,0.2615598388464423,-0.11989556816384721,-0.7413882052854751,-0.3015662396281732,0.04681763722942378,-0.030616122223145793,0.0015066901968384628,0.2461411594879246
Bulgaria,-0.6536765292496785,0.3586067106988594,0.313532153228997,-0.06907383354335252,-0.07765383793242109,-0.7264942004375189,-0.070984179210609,0.07865051714121364,0.23018953499973577,0.10940159012282948,-0.09250658443648717,-0.4014276729330959,-0.34053430366657267,0.9879747950364072,-0.7899365951088839,-0.0015286878725964926,-0.5266144201204588,0.1011485786474077,0.142103151371266,0.019835765353291207,0.1227498486274635,-0.14015389308173326,-0.12952128873672336,0.23679372137095925
Burkina Faso,0.20311220119298012,0.08218514770111142,-0.14117127386247375,0.019039618146016436,0.18191291549399466,0.6921159020865889,0.042771970564126606,-0.03631067998991057,-0.2498723903696373,-0.32118701416834483,0.10646955600830552,0.0037024815008226144,0.27488232849855193,0.2808997134837,0.38983247727243,0.0039002976377923914,-0.11358624065876938,0.10280072235918397,-0.27934111177506565,0.20421025395949982,0.05331806882109959,0.3341418078369952,-0.03828762722132524,-0.38736639888537866
Cambodia,2.187501702573627,-1.04946351525291,-0.27088231763028037,0.1317741504782316,0.0017301446041892632,1.1040134607060645,0.02914027027168004,-0.115704497104025,-1.8669655969175438,-0.2477501457607923,0.04162400019553388,1.2180702161243062,0.13788992102963676,-6.224558388562113,0.13497730305607547,0.007762776396248228,0.2469772542996907,-0.10700074586693517,2.067185864131243,-0.11909804197844095,0.022949758318673047,0.11414465387689234,0.04153706446435535,0.04256889495272844
Cameroon,-0.04096523134372546,-0.026370159884145324,-0.32262627644828173,0.17621080243019605,0.0775504430869114,0.0720269171155087,-0.16407939490076387,-0.1995980482028608,-0.2908211464735723,-0.10292862113553383,-0.1603906312172694,-1.0852787621734206,0.21616940993522804,0.010011342521356709,0.2171214383552433,0.0004001192319447,0.28851658838262667,0.1145100624852057,-0.7523920859167265,0.08895714368971312,0.04237643604481491,0.3190879880707416,-0.037711767977452834,-0.449560214903795
Canada,-0.2690688793652225,-0.22552969228076108,0.3851884983943353,-0.27223024350977537,-0.4578543329666081,-0.4499924499617919,0.2553231923060048,-0.6671228467939045,0.9823218584531788,0.1613845019568862,-0.05169719178704327,-0.5004304828661952,-0.4976414137993925,0.9875931908877829,0.04658272577042226,-0.048951283106580375,-0.36776108212565306,0.06863965760310747,0.12465405254579309,0.018450181374901148,-0.23311836026371566,-0.13836728403271992,-0.020784632131981198,0.23603597614099273
Chile,-0.6127908360534821,0.2405058560366524,0.4765618782532772,0.7858040486515074,-0.05413856045694047,-0.0004769228191435104,-0.012711370926372183,0.27850026108237214,0.02099524847635621,0.0055104221710553245,-0.10782561899617576,-0.1794518583667741,0.7499954778274333,1.63610768865954,0.5509020994597813,0.01680836028242993,0.8890552302311698,0.1839590466820482,0.5865889437437,0.349031881518149,0.045779947467744934,-0.029418737669402617,5.222002931986935e-05,0.35044898322375956
China,-0.26523447865009075,0.3839292899515749,0.2775474517403279,-0.280237362072412,-0.12067928971533093,-0.612611892590503,-0.014121313558516703,-0.6888438200118617,0.3581391081239053,0.31899217932670126,-0.07184732641875598,-0.5954706892897775,-0.561779035506006,0.957367813726014,0.3227569996728562,0.013560139425972012,-0.6346624734868237,0.11287343392328694,-0.060848899534103114,-0.4898037077803201,-0.35767546965044855,-0.13896973521303152,-0.04246828738017939,0.30627413802823866
Colombia,2.6659075060321946,-0.4332538066768575,-0.14707260686585868,0.065943946491916,0.033981451517611276,1.1869856298703052,-0.07071338493587519,0.1041546608707813,-1.2835500853345547,-0.30218675062616057,-0.02324905758485329,0.16254158309600825,0.1717495067855998,-5.089257551973865,0.1716965988826996,0.0071414592971450475,0.2922296626684692,-0.12527012309110433,2.1764311852004177,0.40070510664422726,0.027624022716800027,0.006294208467179488,0.06327852416707173,-0.2569858792925879
