Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),"Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)",gdp
Cameroon,0.7281952202320099,0.7396186292171478,0.7110010087490082,0.8599240481853485,0.8492132127285004,0.87604571133852,0.7814980149269104,0.7846262902021408,0.7767893970012665,0.807156577706337,0.7791403234004974,0.8493259251117706,3.4865992405141526
Canada,0.3445926904678345,0.26963889598846436,0.4570603370666504,0.43163883686065674,0.3735548257827759,0.5187934041023254,0.5256004333496094,0.4774631857872009,0.5978299975395203,0.2642752528190613,0.2263399362564087,0.32119691371917725,4.562893862632734
Chile,0.6635057926177979,0.6405278444290161,0.6981493532657623,0.7925286442041397,0.7665648609399796,0.8316739350557327,0.6935606300830841,0.6586269736289978,0.7462296485900879,0.6721839606761932,0.6469147205352783,0.7102820873260498,11.668224701621895
China,0.48780566453933716,0.38540875911712646,0.6414050757884979,0.6908031105995178,0.6095770597457886,0.8126453012228012,0.5452326238155365,0.45623230934143066,0.6787365972995758,0.38366812467575073,0.28180694580078125,0.5364639163017273,8.109792580779327
Colombia,0.8303038775920868,0.7621679902076721,0.9325364083051682,0.8471347540616989,0.7996174246072769,0.9184307903051376,0.8545838594436646,0.8102193027734756,0.9211493954062462,0.7270073592662811,0.6498172879219055,0.8428250402212143,10.56329269521214
"Congo, Rep.",0.7175081968307495,0.7192572951316833,0.7148838937282562,0.7755067050457001,0.7588849514722824,0.8004456907510757,0.7389217913150787,0.7274470627307892,0.756138265132904,0.7651705145835876,0.7343018352985382,0.8114853650331497,-3.499999999727052
Costa Rica,0.7352974712848663,0.6566972136497498,0.8542368710041046,0.7864439487457275,0.7442648410797119,0.8502701669931412,0.7746106386184692,0.7241595089435577,0.8509542495012283,0.5654374957084656,0.5034894943237305,0.6591784060001373,7.579565299079221
Cote d'Ivoire,0.6910393536090851,0.686866044998169,0.6973065137863159,0.8427430689334869,0.8291598111391068,0.8631413877010345,0.7483779191970825,0.7436094582080841,0.7555388659238815,0.7961360365152359,0.7749002575874329,0.8280263543128967,7.021501836009733
Croatia,0.4162141680717468,0.40151119232177734,0.43831998109817505,0.5527502000331879,0.5514063239097595,0.5547706484794617,0.5689081251621246,0.5792869031429291,0.5533036887645721,0.39132869243621826,0.3729007840156555,0.41903483867645264,10.448872452853038
Cyprus,0.7186003625392914,0.6187997162342072,0.8684771806001663,0.7955877035856247,0.7493890225887299,0.8649671375751495,0.7588788717985153,0.7083818316459656,0.8347134590148926,0.6135595738887787,0.556471198797226,0.6992927193641663,5.5126853640559546
Czech Republic,0.4144640564918518,0.34748125076293945,0.5150733590126038,0.5102348625659943,0.45837002992630005,0.5881366729736328,0.5993024408817291,0.5584430992603302,0.6606738865375519,0.2819395065307617,0.24984121322631836,0.3301517367362976,3.3426530090182354
Dominican Republic,0.8067992329597473,0.7792395949363708,0.8482051491737366,0.8583869338035583,0.8438065946102142,0.8802925869822502,0.7884175926446915,0.7682939022779465,0.8186516612768173,0.7125856876373291,0.6755891144275665,0.7681697309017181,12.271990226626642
Ecuador,0.8546570837497711,0.8123248070478439,0.9185105562210083,0.9150305017828941,0.8920584544539452,0.9496812522411346,0.8614491522312164,0.8239515721797943,0.9180100560188293,0.7413284182548523,0.6882809698581696,0.8213445395231247,4.23525124172572
"Egypt, Arab Rep.",0.7968665808439255,0.7153267562389374,0.9195959344506264,0.8674892485141754,0.8214118480682373,0.9368424788117409,0.7504383623600006,0.6943577826023102,0.8348478525876999,0.7749109864234924,0.6974537372589111,0.891495443880558,3.3267420905086027
El Salvador,0.7540555149316788,0.7141003608703613,0.8142003118991852,0.7928328514099121,0.7627066224813461,0.8381820917129517,0.7517816573381424,0.7397538423538208,0.7698871940374374,0.5875062942504883,0.5844293832778931,0.592138022184372,10.800868593051248
Estonia,0.24956470727920532,0.20176160335540771,0.3214973211288452,0.4772155284881592,0.4361345171928406,0.5390327870845795,0.43709897994995117,0.389853298664093,0.5081927180290222,0.37280482053756714,0.33096736669540405,0.435760498046875,8.349453620120542
France,0.3865758180618286,0.33959633111953735,0.45712852478027344,0.4048159122467041,0.3630408048629761,0.4675528407096863,0.5388704538345337,0.5222119092941284,0.5638878345489502,0.41250354051589966,0.3916182518005371,0.44386863708496094,6.963570787550282
Gabon,0.6507268249988556,0.6198750734329224,0.6974732279777527,0.8182731866836548,0.8316841274499893,0.7979529947042465,0.7343330979347229,0.7200028598308563,0.7560461759567261,0.7090578079223633,0.7061983942985535,0.7133904099464417,1.5053594008903843
Georgia,0.9098029434680939,0.8919313922524452,0.9366377666592598,0.9068705514073372,0.8872948214411736,0.9362642765045166,0.831049233675003,0.8139432072639465,0.8567346036434174,0.824745774269104,0.8109849989414215,0.8454081118106842,10.358942654845293
Germany,0.4157198667526245,0.3845248222351074,0.46301066875457764,0.5207800269126892,0.533038318157196,0.5021967887878418,0.6211936175823212,0.6115754544734955,0.6357744932174683,0.5250115394592285,0.504606306552887,0.5559452474117279,2.892602433219338
Ghana,0.7713924050331116,0.7477833032608032,0.8069449812173843,0.8816325664520264,0.8533173054456711,0.9242720752954483,0.8302418440580368,0.7793716937303543,0.9068464264273643,0.7938837856054306,0.7473093271255493,0.8640195429325104,5.356477896995784
Greece,0.6739223003387451,0.5534937977790833,0.8553262799978256,0.836568146944046,0.8114942163228989,0.8743375092744827,0.8237868696451187,0.8003419041633606,0.8591025173664093,0.7298129498958588,0.6774508655071259,0.8086870014667511,8.336102010106615
Guinea,0.7687939554452896,0.7442782819271088,0.8056066036224365,0.8909726440906525,0.8680586069822311,0.9253802970051765,0.8486224710941315,0.8171201944351196,0.8959261849522591,0.8838965520262718,0.8596282303333282,0.9203377887606621,3.123230000096086
Honduras,0.7770840972661972,0.771162137389183,0.7860513627529144,0.814727395772934,0.8078306913375854,0.825170636177063,0.737044483423233,0.7486067414283752,0.719536542892456,0.6866969168186188,0.6710368096828461,0.7104099988937378,12.53409601577387
