Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),"Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)"
Cameroon,-2.9977832303381273,-1.080702572152843,-2.4212251939214307,-0.13433213551472467,0.38920041034282793,0.35331391647427823,0.4741535388316471,0.2982981456117102,-2.7345990696006175,-0.5994536275398881,-0.06018916174180422,-2.891778056203892
Canada,4.73590125468162,1.1175683186854424,1.015095993420288,2.3488717751661756,1.2844625302107513,1.4514683789747802,0.7176955197352566,-1.0248046728895286,3.7786448722058648,4.497838189201166,-0.4291498902049913,6.582319886264627
Chile,1.46905125365266,0.7665550284690186,0.09439438119428623,-0.2814739764416032,0.556427753513935,0.3774633368702771,0.3648051931711169,0.23692705633765954,1.0749359556621805,-0.7582124643178343,-0.5243292613801316,-1.2175742285491795
China,1.8093100667653617,0.47647716343309865,0.13020578946741113,-1.0548896972945574,0.25004527958213796,-0.780069477066863,-0.4032732592361805,0.6773768919996432,0.9164462034781939,1.9932670469879428,0.4277423686393389,0.38128093267220375
Colombia,-1.3586877408321056,0.19656217803296228,-0.8300811421925145,1.1929081887281114,0.4384166914072898,0.28847099293701195,0.5874334206469065,2.3657001014964933,-1.2780672343226867,-0.33685807032268134,0.25118908223224157,-1.0895789704693124
"Congo, Rep.",-3.5434369383857307,-1.6557245799701752,-3.3801275343936616,-3.7056502349624667,-1.1059898910945192,-3.9446449625485656,-0.2925384804130351,-1.1701783928339449,-3.9857215644057273,-2.4139532010428697,-1.9662524463135425,-2.90063828506731
Costa Rica,-1.2887704559857425,-0.6557154376980758,-0.8760698386167589,-2.0812884623123837,-1.050410684600104,-1.1536686852654547,-0.03956860691207176,-1.3203949928657823,-0.04201275589273479,-1.9664143929781481,-1.4758195134554182,-1.9951816388204664
Cote d'Ivoire,-1.681737952014438,-0.1153441549762384,-1.3912820014287837,0.443220974472311,1.363178203832307,0.6038930445860582,1.1382809191980554,1.0080049102118238,-2.7039784724281484,0.156623211990639,0.2170962452202545,-2.3034785111848004
Croatia,6.027808294281856,1.5028740206676372,3.3036519168541054,3.5892786595220025,0.9963928358717666,6.272175534095769,1.2278827271468717,0.7084612587869756,5.998763686789356,3.919642849961171,1.326063689173501,4.733365186919484
Cyprus,0.1762130437261029,-0.0019811516220333836,-0.10663274625012997,-0.9187428029386788,-0.34247528899369195,0.11449471358208374,-0.32165856120268543,-0.832256819899194,-0.41946414892115236,-3.1700986214773432,-3.02214355640918,-1.7525883518840981
