Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),Worried about not having enough money for old age: worried (% age 15+),Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)"
Slovenia,8.123255129828602,8.080103882840701,8.163033682483857,8.448622914650523,8.083401426760828,8.237808146270073,8.010334122039465,8.381193495819085,8.400851167022417,8.140670550196148,8.019838660543606,8.109304995812742
South Africa,4.939930836999255,4.826511587804973,4.8263379048645465,4.829186435342158,4.851874298388823,4.861737528949618,4.911803995322095,4.901385874787451,4.80258503469576,4.888367638287181,4.86433505811822,4.871484519471738
Spain,5.030084401699139,5.509146161531008,5.227038501859589,5.398507632671982,5.266308281009712,5.203271041159869,5.20301173926986,6.007683483811686,4.959543201880306,5.398610509363633,5.19351288245718,5.087964463798962
Sri Lanka,3.6170202993495173,3.550188044993869,3.663532943714657,3.6351727512401886,3.8174414171698876,3.664261810849022,3.6843206015136882,3.6299654701184747,3.66651577016679,3.609784018901222,3.6790443220871545,3.6812889466077676
Switzerland,3.4934790630226016,3.7303764919153717,3.7264179931760433,3.416367031387782,3.784898407139212,3.7519275725563133,3.7802212874004786,3.3340109359800354,3.6056996887339445,3.4428166741579704,3.622491690291632,3.489501096808909
Tajikistan,9.552235592995906,9.475167935199538,9.26731383690127,9.492849340425026,9.73709174796555,9.665384964466144,9.236528081440175,9.33635890660284,9.516341029737873,9.368403341063443,9.421599852297536,9.629460073418306
Tanzania,3.8736278661220465,4.303049081003952,4.5982607571537715,4.761672290256554,4.2068341498586115,4.640536657962333,4.614917968432603,4.313270988811917,4.067622211870936,4.58677094039714,4.417860881341516,4.708910549380346
Thailand,1.6268743158369492,1.519168766747306,1.4947587408333565,1.7942903536828465,1.5095784196341402,1.612313319572207,1.5013174447545665,1.7069543111101753,1.5506444292591979,1.715380154100131,1.6712312609005437,1.9143334746937715
Togo,5.387958563169872,5.480645484875351,5.119167988456032,5.397895537943294,5.571574677241609,5.251958373008618,6.254210556074166,6.003957662470308,5.465366856597707,5.282267840496819,5.104757417631438,5.369605228170726
Tunisia,3.4087111123884966,3.495620406939129,3.484118960768321,3.592935524192615,3.432023369640813,3.155778675595521,3.34279155849696,3.337445716120612,3.3167196996004464,3.5093831640130912,3.416650144696618,3.449831433457333
Uganda,3.360827065328588,3.3342850600626126,3.2975341286953843,3.3191314006798733,3.3919141081303623,3.385425441384895,3.2959005365404392,3.4217005213500804,3.3787481912923814,3.3547654873975445,3.381458572920586,3.3189479361953342
Ukraine,3.3556590021124424,3.3444527687850116,3.381019028329717,3.6894882451349993,3.4267976683145376,3.4326811022795485,3.411383538242725,3.6154455646213237,3.259948025510744,3.2788972519154638,3.4681738241027045,3.17593932800178
United Kingdom,7.673509448674992,7.5603957536111075,7.567779272974389,7.0140576553871705,7.578010101285928,7.451740520051635,7.316128125634843,6.860557437123946,7.52384772667058,7.730740231673981,7.317805483387371,7.1189514315799025
United States,5.835812005494868,5.6128247208882165,5.739003176565392,5.6743577224497,5.718683013509465,5.870102710244993,5.568315464335888,5.5245812385978645,5.591707455736852,4.869958902762215,5.549500530839724,5.683539075690139
Uruguay,4.4526437700229025,4.501871734853439,4.46966389599286,4.339837113218383,4.449477515874409,4.59826660915336,4.570015545580907,4.580788580355795,4.503638776750282,4.418993816998708,4.789199886200048,4.612810228162588
Uzbekistan,7.415987621954161,7.437055632330868,7.308686916804847,7.613821118412517,7.559890163531422,7.38759806642674,7.412043645517924,7.467051497383421,7.44123466988893,7.417762403749388,7.186327602874144,7.549594989807529
West Bank and Gaza,6.342565698479469,7.15044227422543,6.977613065700265,6.404866411859858,7.0415764788527175,6.978653506572719,6.826442069846833,6.676077496807242,7.0417391840418935,7.186197014806428,6.748351017348484,6.86495441847452
Zambia,3.5600747539933653,3.6421933281584526,3.5654119043502615,4.065482426239756,3.4447380962734346,3.5769313173302772,3.5809939257133316,3.602225889072771,3.752580052942617,3.6131361559397095,3.788136312182653,4.157829629325393
Zimbabwe,5.651812177648718,6.005837907649081,5.909903044692729,5.413215850704587,5.8910035223330315,5.719834071840252,5.764898095134509,5.686075045336315,5.436649811929845,5.811018024654628,5.624597099474274,5.51767887723789
